EPOCH,Time Consumed,Total Frames,Running_Average_Rewards,Train_Epoch_Reward,Running_Training_Average_Rewards,Explore_Time,Train___Time,Eval____Time,dir_330_embed_withnorm_v4_eval_rewards,Reward_Mean_Mean,Reward_Mean_Std,Reward_Mean_Max,Reward_Mean_Min,Alpha_Mean,Alpha_Std,Alpha_Max,Alpha_Min,Alpha_loss_Mean,Alpha_loss_Std,Alpha_loss_Max,Alpha_loss_Min,Training/policy_loss_Mean,Training/policy_loss_Std,Training/policy_loss_Max,Training/policy_loss_Min,Training/qf1_loss_Mean,Training/qf1_loss_Std,Training/qf1_loss_Max,Training/qf1_loss_Min,Training/qf2_loss_Mean,Training/qf2_loss_Std,Training/qf2_loss_Max,Training/qf2_loss_Min,log_std/mean_Mean,log_std/mean_Std,log_std/mean_Max,log_std/mean_Min,log_std/std_Mean,log_std/std_Std,log_std/std_Max,log_std/std_Min,log_std/max_Mean,log_std/max_Std,log_std/max_Max,log_std/max_Min,log_std/min_Mean,log_std/min_Std,log_std/min_Max,log_std/min_Min,log_probs/mean_Mean,log_probs/mean_Std,log_probs/mean_Max,log_probs/mean_Min,log_probs/std_Mean,log_probs/std_Std,log_probs/std_Max,log_probs/std_Min,log_probs/max_Mean,log_probs/max_Std,log_probs/max_Max,log_probs/max_Min,log_probs/min_Mean,log_probs/min_Std,log_probs/min_Max,log_probs/min_Min,mean/mean_Mean,mean/mean_Std,mean/mean_Max,mean/mean_Min,mean/std_Mean,mean/std_Std,mean/std_Max,mean/std_Min,mean/max_Mean,mean/max_Std,mean/max_Max,mean/max_Min,mean/min_Mean,mean/min_Std,mean/min_Max,mean/min_Min
0,2.8103103637695312,4200,5310.61858,-325.96808,-1.06848,0.17496,2.63213,0.00316,5310.61858,-2.06473,0.02319,-1.99386,-2.12026,1.00030,0.00017,1.00060,1.00000,-0.00070,0.00041,-0.00000,-0.00158,-320.14305,1.87843,-314.65585,-325.11661,1661.78551,181.58591,2329.73584,1248.54138,2207.60096,194.62903,2696.47388,1674.70630,-1.74564,0.00947,-1.71980,-1.77685,0.56539,0.00839,0.59112,0.54208,1.99929,0.00995,2.00000,1.85891,-5.42776,0.73103,-3.75090,-6.30362,10.34935,0.12789,10.73815,10.03939,4.96393,0.16059,5.42681,4.60869,42.56534,6.17855,51.60066,27.69473,-3.53689,1.66954,-0.89557,-10.67442,0.22918,0.00959,0.25686,0.20331,1.18309,0.01211,1.22479,1.13896,6.27601,0.60628,6.92343,4.82303,-7.88767,1.51082,-4.92201,-10.60349
1,2.303584337234497,4400,5864.97080,-426.40692,-2.30519,0.00145,2.29980,0.00225,6419.32302,-2.03587,0.02323,-1.97168,-2.09721,1.00090,0.00017,1.00120,1.00060,-0.00209,0.00041,-0.00133,-0.00302,-320.34776,1.86305,-315.74777,-325.16446,1619.45042,194.92452,2367.90259,1119.30066,2157.91636,186.28082,2651.26880,1696.97156,-1.75312,0.00952,-1.72105,-1.77856,0.56519,0.00846,0.59557,0.54417,1.98922,0.07141,2.00000,1.19335,-5.41302,0.73689,-3.87743,-6.30384,10.33363,0.13145,10.67241,9.97052,4.93094,0.14263,5.38895,4.56924,42.39747,6.06835,51.71294,28.97707,-3.53455,1.81623,-0.25440,-11.48617,0.22868,0.01090,0.26092,0.19407,1.17571,0.01246,1.21030,1.14098,6.27059,0.57136,6.92239,4.86975,-7.79086,1.54278,-4.78194,-10.60701
2,2.335765838623047,4600,6027.80578,-452.16334,-2.00393,0.00183,2.33122,0.00262,6353.47575,-2.02284,0.02380,-1.95472,-2.08738,1.00150,0.00017,1.00179,1.00120,-0.00345,0.00046,-0.00255,-0.00455,-319.80313,1.92684,-315.21970,-325.49567,1679.83735,193.78055,2226.16235,1255.46680,2299.44014,225.92128,2886.49927,1769.67896,-1.75312,0.00963,-1.72611,-1.78035,0.56376,0.00872,0.58741,0.54143,1.99813,0.01906,2.00000,1.77069,-5.26087,0.80814,-3.70728,-6.30747,10.31511,0.14143,10.64585,9.92998,4.92110,0.16950,5.36038,4.50784,41.40696,6.62864,51.90340,26.85612,-3.32949,1.55213,-0.50871,-10.50055,0.22738,0.01006,0.25236,0.20235,1.17521,0.01377,1.21041,1.13632,6.32769,0.58550,6.90718,4.81964,-8.09132,1.70751,-4.92844,-10.60608
3,2.1388895511627197,4800,6093.32313,-262.86281,-1.77774,0.00183,2.13451,0.00248,6289.87517,-2.02192,0.02367,-1.96526,-2.10975,1.00208,0.00016,1.00236,1.00179,-0.00454,0.00045,-0.00356,-0.00559,-315.96992,2.29012,-310.13922,-322.70212,1656.89739,188.42882,2217.94702,1209.66675,2552.28006,226.89176,3150.30957,1996.22351,-1.74673,0.00931,-1.71330,-1.76869,0.56022,0.00942,0.59084,0.53631,1.97782,0.10324,2.00000,1.18889,-5.28446,0.74851,-3.77573,-6.30889,10.19173,0.15812,10.65836,9.79723,4.97142,0.15946,5.44934,4.59499,41.62088,6.29572,52.01027,28.11014,-3.78901,1.60118,-0.90035,-10.23202,0.21402,0.01032,0.24158,0.18301,1.17015,0.01458,1.20985,1.12865,6.45806,0.45808,6.90352,5.16302,-7.67325,1.61108,-4.02887,-10.60382
4,1.8907101154327393,5000,5838.26486,-359.65046,-1.32344,0.00172,1.88630,0.00260,4818.03180,-2.01941,0.02364,-1.94929,-2.07854,1.00265,0.00016,1.00293,1.00237,-0.00561,0.00052,-0.00426,-0.00685,-314.62960,1.97884,-309.93787,-320.99081,1675.95681,182.20459,2182.76953,1281.84644,2635.70244,195.43861,3289.38452,2134.58057,-1.74053,0.00958,-1.70924,-1.76893,0.55873,0.00830,0.57730,0.53857,1.99450,0.05295,2.00000,1.31030,-5.22609,0.77414,-3.68889,-6.31158,10.12634,0.14130,10.44772,9.75439,4.96290,0.14553,5.38361,4.57164,40.86286,6.46929,51.46115,27.46421,-3.67776,1.35202,-0.73830,-9.13605,0.20995,0.01106,0.24918,0.18711,1.17103,0.01326,1.20222,1.13551,6.53759,0.37193,6.89474,5.22339,-7.97677,1.64450,-4.87618,-10.60684
5,2.23814058303833,5200,5899.58137,-391.97779,-1.73206,0.00175,2.23429,0.00203,6206.16394,-2.01326,0.02260,-1.95664,-2.05984,1.00322,0.00017,1.00351,1.00293,-0.00688,0.00058,-0.00527,-0.00838,-307.98499,2.86120,-301.80887,-316.98810,1728.64966,184.31935,2386.18628,1281.88855,2680.90957,228.60547,3488.70044,2169.77515,-1.73456,0.00944,-1.71082,-1.76635,0.56302,0.00879,0.58715,0.54265,1.99343,0.05488,2.00000,1.31003,-5.29740,0.79644,-3.71575,-6.31508,10.14159,0.13662,10.49551,9.79491,5.00892,0.15452,5.44906,4.61416,41.15346,6.59102,51.11012,28.00225,-3.76920,1.69504,-0.38940,-13.29552,0.19898,0.01129,0.22664,0.16040,1.17943,0.01341,1.21548,1.14238,6.50798,0.42053,6.88619,4.81988,-7.64410,1.54653,-4.82717,-10.60268
6,2.2905147075653076,5400,5973.01192,-389.57605,-1.61472,0.00202,2.28528,0.00313,6413.59519,-2.00762,0.02292,-1.93623,-2.07697,1.00380,0.00017,1.00409,1.00351,-0.00810,0.00065,-0.00644,-0.01020,-304.01105,2.68956,-298.59714,-311.68423,1797.73759,204.93228,2444.81421,1338.00562,2634.95172,217.79908,3093.89185,1854.69922,-1.72747,0.00957,-1.70329,-1.75096,0.56331,0.00884,0.58357,0.53862,1.98488,0.07069,2.00000,1.45587,-5.25397,0.73464,-3.93106,-6.31472,10.13729,0.14619,10.62664,9.68389,4.96799,0.15900,5.36757,4.55996,41.26625,6.19945,52.31565,27.87534,-3.89673,1.56687,-0.71858,-8.27594,0.19244,0.01004,0.22137,0.16302,1.18526,0.01392,1.22445,1.15088,6.53252,0.41485,6.87736,4.97695,-7.72444,1.64376,-4.83750,-10.60127
7,2.133726119995117,5600,6026.50262,-361.95489,-1.95628,0.00196,2.12897,0.00269,6400.93755,-2.00974,0.02110,-1.92315,-2.07698,1.00438,0.00017,1.00467,1.00409,-0.00926,0.00074,-0.00741,-0.01121,-303.64371,2.56679,-296.82843,-309.50345,1825.40587,206.67397,2523.64111,1383.74670,2630.80493,225.18999,3454.91406,2049.35229,-1.72440,0.01042,-1.69239,-1.75090,0.56375,0.00936,0.59332,0.54556,1.99300,0.05016,2.00000,1.40812,-5.31363,0.75332,-3.81884,-6.31674,10.11978,0.14014,10.44931,9.74515,4.95908,0.15097,5.41426,4.60309,41.85778,5.99291,52.13225,27.55913,-3.70871,1.55050,-0.73580,-8.85453,0.19287,0.01058,0.23374,0.16366,1.18474,0.01380,1.21819,1.14475,6.50399,0.40718,6.86859,5.04135,-7.85109,1.66868,-4.55751,-10.60127
8,2.5012364387512207,5800,6055.55158,-380.54522,-1.58794,0.00212,2.49685,0.00219,6287.94327,-2.00098,0.02395,-1.94039,-2.08030,1.00497,0.00017,1.00527,1.00467,-0.01071,0.00083,-0.00892,-0.01304,-296.69279,3.02192,-289.14810,-303.17123,1785.92566,207.77386,2574.57422,1285.08093,2787.07127,219.05653,3415.48682,2264.06836,-1.73018,0.01050,-1.70286,-1.75753,0.56131,0.00818,0.58179,0.53975,1.97631,0.11283,2.00000,1.17717,-5.27601,0.76723,-3.74617,-6.31984,10.16130,0.14158,10.49106,9.80612,5.04061,0.18671,5.62839,4.61508,45.45507,6.80410,57.44428,29.85579,-3.65571,1.61030,-0.70570,-10.12971,0.18787,0.01098,0.21325,0.15849,1.18579,0.01423,1.22301,1.14826,6.48263,0.45047,6.86620,4.76796,-7.69864,1.57169,-4.82300,-10.60319
9,2.1157360076904297,6000,6081.04302,-421.81342,-1.56030,0.00201,2.11148,0.00219,6310.46600,-2.00054,0.02429,-1.92360,-2.06142,1.00557,0.00017,1.00587,1.00527,-0.01197,0.00094,-0.00943,-0.01465,-297.55827,2.54100,-290.89569,-303.18854,1756.58582,189.81562,2586.80981,1351.87988,2784.92499,206.49665,3597.93799,2393.21875,-1.72989,0.00912,-1.70645,-1.75440,0.56095,0.00845,0.58613,0.53908,1.97618,0.11422,2.00000,1.05042,-5.16429,0.75686,-3.71539,-6.32170,10.15674,0.14950,10.66866,9.77028,4.99318,0.17923,5.51984,4.61569,43.95123,6.16668,56.94432,29.22720,-3.79052,1.65953,-0.84728,-12.22394,0.18782,0.01057,0.21612,0.15671,1.18360,0.01361,1.21625,1.15198,6.42781,0.45409,6.85749,5.01167,-7.61851,1.55345,-4.82358,-10.60625
